Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Brand_Hashed,Price_Encrypted,Brand_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABoHHKYk4J6Br0Pa-IFeeEjo25t8dvfDpB5iPWmlHwtDMitm8bUrfXnlGjy914HkfOfQGSgwPE95FZ_EuDFYc6NQXnS1ah7G4WUEucXoqOTXJL7UL4=,gAAAAABoHHKY_rNDrfJ4YDboTmuanyy9w6TpTlLkaitZPhWoFjnrX4mtQEgwTSSsZYu4Yy_o5gzAFtikQfd0N_u5OjUC3tIfZA==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABoHHKYFP6v5e2xGeYlAkRZ3FXuOV_2Ba26U4r6DcOjw_CAHB5P9UZsEjs0Z8qIVmH6T-OV4rrUdDe_MY8x8fJh2EydhdDsK0T86zH1piQTcYNUfzk=,gAAAAABoHHKYOelZZuElqhW5cWbha2LTzZi8hYPoJwAKYzRBKz8q6xQS_fNLL2aGo8eufnrnr36iqAlOyyNP54_6U1DyhUX9tQ==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABoHHKYl1li83fnmh1WyuW-G5cQg29BIrH6u7fJQ-IUBFsiWhjWWYsWDgHYTH7EQ4u5VHTpN9LGwuTeHxPsAf0k54FiGYHCwrgE7VWnSRzlhQEFEfE=,gAAAAABoHHKYtTOc1GjoXw3u2e2gn7dukTiL8H5lIiZ1pgoNp_Th7O3R8OXEVDwdANtk8fz0Am-m4RClrvxuRzYBtkinYmMXug==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABoHHKYTNYmLeJ_oJdLYNkum7jhW0St_GqQ-pYtfKDtpDjlRquHmQNmEDYIg62APSVHNBcd04QCcrWNQyeQI9_Ok7hE1J4_XZXaXFrp9wctrVk2c9U=,gAAAAABoHHKYI5F5_EsKReUvVnsKj0CzhjUinFkmzKmnW1pJUeemuNFiBu_KhNriUrm-2rXZlhGawf6CpwpyoRUHwSlsYLnAlw==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABoHHKY0YMOa3Yh4-sbWGCcpkHYG3TF10dnQ_3GdAh8PzWs-uoB1_wboD5VRYDQFfsLhtrdGEJr78eHZABi9DnzOAC7FwdiMjUIlhkB-XvUWVq4JFg=,gAAAAABoHHKYfXhbd8aEqwFNe702fzlCZCoiVNl49Wlhtf-0M0olmUQfVkXu69ulhecGSzZz7QgbmTpNMih6Pp-8fTL1cYab3g==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,9449a7aaa80c99ead5ca08d4c72f0905780cb5008036127b26fe20da07419ac0,gAAAAABoHHKYsdrajKdSRtPqo8hP78UESUvEr3v-BXXKrQO83TyTV4dbRk5eeWEDCLozrGDbeioWTEs7I3soTAna_tJsMYeaom70Sbi7pRS7-o4oaxJTqzc=,gAAAAABoHHKYZ5d65XrpqRaBsvlDKN4uI36yrnj3MT-bIHsucgXddnqeaDbe8kzV65wJsvrVUJmopjc-vRvAUstv5wtkpstdLA==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABoHHKY0NH1qJ237YrAsDPkKZARpFv3dhOXOpXU950mMDNW6JNCET9T7-bTmhD3w-zfhRRJDBwZ3EzHiNG8z4myy4ZySjC0EwXM7KKheT20xH8-bdU=,gAAAAABoHHKYBLvc9DZ-cBw41Hyca4Qchp3gK-accuw6H0261bgdlUQ2tDDLitrw5RuACEcCyiizRvc1NzfAFwT2k1ZUL3qy6g==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABoHHKY-xMghCWG12XJTQVpl6mZhOCcRxZ6sldAa3i0QxaQc0YMMSiSxaszV4S663EXWgpsjtjlmAXQm9wwSRRWmqlxzkESQhfE3ukMNJvvPHaW1Rg=,gAAAAABoHHKYAi5roTUH2P63je3uDviPvWb4ngdgLSG4kCz3OP74EmYau1D2C0U3Hxa8ZkaH97f-qlP0Zy4CQ3Tu7BPMyeTlEw==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABoHHKYQi6Q-8AVZ1qhQz_fXI9yiJpLEWr5xs8DuUOllChmYv7Ap6ijb_sWQPJIOA6RJ9Sjh4c1PGJ6cj706U2xrCr-hJJUhBmvsa-Esfyk04ccZo8=,gAAAAABoHHKYihw4WGZAhdWO4I2jzA_W4xbR3Mf_enPgPKWfMq5n0cobueUr7UpROweV-LTzZKXpEfpQp9yJk27ui978z1C42w==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABoHHKYhBw4T6mVS-CsmzwXeuT3HxkCA-NQeskhdDm_Yoi7RfBB_PqXg9Rg34ERxE1vFtlbdeLjw9SQi8Rk8mUShOPQXCqUjMiuCnNiXMTlw9ptpj4=,gAAAAABoHHKY8N7ojaLu3ELf9NuEbVVWYO3bDVl8b3-XxbZI0u5RdP8Qa8i7OF5AJ_8bQv-xT2dQ-B_HKNzrO3OnMUo82OkS0g==
